岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
龍洞,音樂廳,LD-MUSIC-HALL-402,七號包廂,Balcony Seven,5.7,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-403,包廂巡禮,Balcony Cruise,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-404,包廂聚會,Balcony Party,5.10a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-405,天空之城四,Yum Yum Sky Wall 4,5.11d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-406,天空之城三,Yum Yum Sky Wall 3,5.12b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-407,天空之城二,Yum Yum Sky Wall 2,5.11b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-408,天空之城一,Yum Yum Sky Wall 1,5.11a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-409,有驚無險的斜板,Harmless Slab,5.10a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-410,有驚無險的內角,Harmless Corner,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-411,有驚無險,Harmless Horror,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-412,無傷之盾,Harmless Shield,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-413,和平之劍,Peaceful Sword,5.12a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-414,盾 (舊名：劍),Shield,5.11b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-415,劍 (舊名：劍直上),Sword,5.12a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-415.1,刀,Blade,5.11b,3,,,
龍洞,音樂廳,LD-MUSIC-HALL-416,小白鯨,Easy Dick,5.7,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-417,白鯨記,Moby Dick,5.10a,2,"音樂廳｜白鯨記（5.10a） | https://www.youtube.com/watch?v=hj_kv_CD89c
Taiwan Rock Climbing : Moby Dick/白鯨記 | https://www.youtube.com/watch?v=g1QLCNhn-KI",,
龍洞,音樂廳,LD-MUSIC-HALL-417.1,星巴克,Starbuck,5.10b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-418,壁畫,Mural Wall,5.10c,1,傳統攀登 壁畫 5.10c | https://www.youtube.com/watch?v=v0x7NZN1pUQ,,
龍洞,音樂廳,LD-MUSIC-HALL-419,亞哈船長,Captain Ahab,5.11a,2,"Taiwan Rock Climbing :The Captan Ahab /亞哈船長(Falling) | https://www.youtube.com/watch?v=WX_1CEWW3VM
2018年5月7日, 龍洞, 亞哈船長, trad, 11A, 試爬 | https://www.youtube.com/watch?v=486jNy7ZAO0",,
龍洞,音樂廳,LD-MUSIC-HALL-420,叫我以實瑪利,Call Me Ishmael,5.5,0,,,
龍洞,校門口,LD-SCHOOL-GATE-521,電視人,Television Man,5.9,0,,,
龍洞,校門口,LD-SCHOOL-GATE-522,小生物煙囪,Little Creature Chimney,5.7,0,,,
龍洞,校門口,LD-SCHOOL-GATE-523,V槽,V-Groove,5.10b,0,,,
龍洞,校門口,LD-SCHOOL-GATE-524,無所不在,Man of Nowhere,5.11c,0,,,
龍洞,校門口,LD-SCHOOL-GATE-525,無名小卒,Nowhere Man,5.12a,2,"凱銘 龍洞校門口 無名小卒5.12a RP | https://www.youtube.com/watch?v=39oSLi3A2p4
小魏-無名小卒5.12a | https://www.youtube.com/watch?v=IceuuWtbtgQ",,
龍洞,校門口,LD-SCHOOL-GATE-526,水虎魚,Piranha,5.11c,3,https://www.youtube.com/watch?v=t5oAReFmu2k,,
龍洞,校門口,LD-SCHOOL-GATE-527,戰鬥,Fight,5.11c,1,"龍洞校門口 戰鬥 5.11C | https://www.youtube.com/watch?v=Dywk4HMwdMQ
https://www.youtube.com/watch?v=D1FwWIl4Q6k",,
龍洞,校門口,LD-SCHOOL-GATE-528,絕不低頭,Don’t Look Down,5.12a,0,,,
龍洞,校門口,LD-SCHOOL-GATE-529,Disco大裂隙,Disco Fistcrack,5.10a,0,,,
龍洞,校門口,LD-SCHOOL-GATE-530,鼻子,Nose,5.11a,4,,,
龍洞,校門口,LD-SCHOOL-GATE-531,Disco右裂隙,Right Disco Crack,5.10b,0,,,
龍洞,校門口,LD-SCHOOL-GATE-532,三重,Triple,5.12c,1,,,
龍洞,校門口,LD-SCHOOL-GATE-533,三重關,Triple Cruxes,5.13b,4,"龍洞攀岩-三重關5.13a | https://www.youtube.com/watch?v=bdwYwEQ3jYw
方翔「三重關」5.13b | https://www.youtube.com/watch?v=DlLAEKX6St8
LONG DONG ROCKCLIMBING TAIWAN 三重關Triple Cruxes 5.13b by Baosui Chang | https://www.youtube.com/watch?v=GSn9cj3UnWI
龍洞-校門口「三重關」 | https://www.youtube.com/watch?v=6q-DqH4JAi8",,
龍洞,校門口,LD-SCHOOL-GATE-534,絕響,Inimitable,5.14a,0,,,
龍洞,校門口,LD-SCHOOL-GATE-535,黑面岩角,Blackface-Arête,5.11d,1,Taiwan Rock Climbing : Blackface-Arête/黑面岩角(5.12a) | https://www.youtube.com/watch?v=vsgkOPOoouU,,
龍洞,校門口,LD-SCHOOL-GATE-536,明明點很小,Obviously Tiny,5.12d,1,龍洞攀岩＿明明點很小 5.12d | https://www.youtube.com/watch?v=5wKecQ-0BEE,,
龍洞,校門口,LD-SCHOOL-GATE-537,黑色角落,Black Corner,5.5,0,,,
龍洞,校門口,LD-SCHOOL-GATE-538,熱身路線,Warm-up Route,5.10c,0,20180618 龍洞 校門口 熱身路線	Sammy Chen	https://www.youtube.com/watch?v=CgteS84ivjw,,
龍洞,校門口,LD-SCHOOL-GATE-539,雙裂隙,Twin Cracks,5.8,0,,,
龍洞,校門口,LD-SCHOOL-GATE-540,出頭,Emerging,5.10a,0,,,
龍洞,校門口,LD-SCHOOL-GATE-541,太麻煩,Tai Ma Fan,5.7,0,,,
龍洞,校門口,LD-SCHOOL-GATE-542,阿彌陀佛,Stepover,5.10b,0,,,
龍洞,校門口,LD-SCHOOL-GATE-543,洞穴人 (無人完攀),Caveman boulder,5.??,0,,,
龍洞,校門口,LD-SCHOOL-GATE-544,東方不敗,Stairway to Heaven,5.10b,1,,,
龍洞,校門口,LD-SCHOOL-GATE-545,冥想,Meditation,5.12b,3,"瞑想　Meditation ★★ 5.12b 龍洞　校門口 | https://www.youtube.com/watch?v=s6LHUxz8-NA
攀岩 龍洞 校門口/冥想 | https://www.youtube.com/watch?v=GRe_qeC5ig0
龍洞 攀岩 校門口/冥想+德州牛仔 | https://www.youtube.com/watch?v=hqvsmDUhGEE",,
龍洞,校門口,LD-SCHOOL-GATE-546,德州牛仔,Ride ‘em Cowboy,5.12b,1,龍洞 攀岩 校門口/冥想+德州牛仔 | https://www.youtube.com/watch?v=hqvsmDUhGEE,,
龍洞,校門口,LD-SCHOOL-GATE-546.1,地藏王,Déjà vu,5.11c,0,,,
龍洞,校門口,LD-SCHOOL-GATE-547,輪迴 P1,Reincarnation | P1,5.10c,0,,,
龍洞,校門口,LD-SCHOOL-GATE-547.1,輪迴 P2,Reincarnation | P2,5.9,0,,,
龍洞,校門口,LD-SCHOOL-GATE-548,牛魔內角,Bull King Dihedral,5.7,0,,,
龍洞,校門口,LD-SCHOOL-GATE-549,Oh No!,,5.11c,0,"Taiwan Rock Climbing : OH NO (11C)        https://www.youtube.com/watch?v=r503kYP2RdI
龍洞校門口「Oh no!」	https://www.youtube.com/watch?v=CNTkjWLhxUM",,
龍洞,校門口,LD-SCHOOL-GATE-550,Oh!,,5.8,0,,,
龍洞,校門口,LD-SCHOOL-GATE-551,虎牙,Tiger’s Tooth,5.11b,0,,,
龍洞,校門口,LD-SCHOOL-GATE-552,出乎意料,Surprise Crack,5.10b,0,2020/09/07 - 龍洞 - 校門口 | Surprise Crack - Jam	https://www.youtube.com/watch?v=U6emy8li-WU,,
龍洞,校門口,LD-SCHOOL-GATE-553,樓梯,Staircase,5.4,0,,,
龍洞,校門口,LD-SCHOOL-GATE-554,迎風角,Sea Arête,5.5,0,,,
龍洞,校門口,LD-SCHOOL-GATE-555,迎風面左,Seaface Left,5.6,0,,,
龍洞,校門口,LD-SCHOOL-GATE-556,迎風面右,Seaface Right,5.7,0,,,
龍洞,校門口,LD-SCHOOL-GATE-557,迎風裂隙,Seacrack,5.7,0,,,
龍洞,校門口,LD-SCHOOL-GATE-558,痛痛,Tong Tong,5.8,0,,,
龍洞,校門口,LD-SCHOOL-GATE-559,走壁,Tzuo Bi,5.11b,0,,,
龍洞,校門口,LD-SCHOOL-GATE-560,飛簷,Fei Yan,5.11b,0,,,
龍洞,校門口,LD-SCHOOL-GATE-561,擠不擠由你,Choose Your Size,5.8,0,,,
龍洞,校門口,LD-SCHOOL-GATE-562,小洞洞,Baby Crack,5.6,0,,,
龍洞,校門口,LD-SCHOOL-GATE-563,小小洞洞,Small Baby Crack,5.4,0,,,
龍洞,校門口,LD-SCHOOL-GATE-564,末代皇帝,Last Emperor,5.11c,0,,,
龍洞,校門口,LD-SCHOOL-GATE-565,第一外角,First Corner,5.12a,1,龍洞-第一外角5.12a with 尚青、睿軒、閎聿2023/7/9 | https://www.youtube.com/watch?v=z4X4dlT3Y7g,,
龍洞,校門口,LD-SCHOOL-GATE-566,代溝,Above the Groove,5.11a,0,,,
龍洞,校門口,LD-SCHOOL-GATE-567,最後難關,Final Crux,5.12a,0,龍洞 攀岩 校門口/最後難關	https://www.youtube.com/watch?v=68sXywwb6rI,,
龍洞,校門口,LD-SCHOOL-GATE-568,細縫,Thinset,5.11b,0,,,
龍洞,校門口,LD-SCHOOL-GATE-569,Z字,Stone Z,5.11a,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-303,上龍脊,Upper Dragon Ridge,5.7,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-304,龍脊左路,Dragon Ridge Left,5.4,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-305,龍脊中路,Dragon Ridge Center,5.5,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-306,龍脊右路,Dragon Ridge Right,5.6,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-307,垃圾斜板,Junk Slab,5.7,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-308,三角關係,Two-timer,5.8,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-309,小裂隙,Thin Crack,5.11c,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-310,祕密開關,Secret Switch,5.10d,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-311,嬰兒之家,Womb,5.11a,0,"龍洞大禮堂311.嬰兒之家  https://www.youtube.com/watch?v=OKzbfm6qtUY
Long Dong | Grand Auditorium - Womb (Succeed)        https://www.youtube.com/watch?v=fIeTSliKOZo        陳震宇        Long Dong | Grand Auditorium - Womb (failed attempt)        https://www.youtube.com/watch?v=xmsNKhjoATw        陳震宇",,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-312,面壁,Face the Wall,5.6,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-313,通道,Canaleta,5.4,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314,大斜板內角,Great Slab Dihedral,5.6,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.1,左翼,Left Wing,5.10?,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.2,臉部辨識,Facial Network,5.10?,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.3,火辣登場,Coming in Hot,5.12a,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.4,不知為不知,Unknown Unknowns,5.11?,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.5,就是很故意,Define: contrived,5.11?,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.6,明顯很好爬,Obvious weakness,5.10b,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.7,轟天雷,Big Thunder,5.11b,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.8,王者雷電,King Lightning,5.10? R,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-314.9,猢猻耍猴戲,Barrel of Monkeys,5.10?,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-315,菲律賓人普羅 (舊：十字裂隙),Puro Filippino (Cross Crack),5.11b,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-315.1,O.P.P. 誰的鴿,(Other Peoples’ Pigeons),5.11?,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-316,大懸岩 | P1,The Great Roof | P1,5.13b,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-316.1,大懸岩 | P2,The Great Roof | P2,5.13b,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-317,十,Ten,5.9,1,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-318,自由裂隙 | P1,Freedom Crack | P1,5.8,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-318.1,自由裂隙 | P2,Freedom Crack | P2 Left,5.9,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-318.2,自由裂隙 | P2 右,Freedom Crack | P2 Right,5.9,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-319,登峰造極,Topout,5.8,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-320,吉薩岩板,Giza Flake,5.9,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-321,海闊天空,Boundless Sea and Sky,5.11c,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-322,法國革命日,Bastille Day,5.11c,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-323,阿魯巴,Arupa,5.10d,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-324,倒掛金鉤,Upside Down,5.11d,2,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-325,今天不上課,No Class Today,5.11c,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-326,Verdon 在台灣,Verdon du Taiwan,5.10b,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-327,普羅旺斯大懸岩,Provence Roof,5.11a,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-327.1,無名路線–寬裂隙,Unnamed wide crack,5.10c,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-327.2,無名路線–手指裂隙,Unnamed finger crack,5.10c,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-328,龍路 | P1,Via del Drago | P1,5.8,0,,,
龍洞,大禮堂,LD-GRAND-AUDITORIUM-328.1,龍路 | P2,Via del Drago | P2,5.10c,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-468,毛毛蟲,Caterpillar,5.7,1,,,
龍洞,鐘塔,LD-CLOCKTOWER-469,觀護人,Probation Officer,5.10b,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-470,訓導主任,Blind Reach,5.11d,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-471,副主任,Reach Around,5.10a,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-472,翻牆,Truancy,5.8,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-473,凹洞,Concave,5.9,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-474,快速道路,Highway,5.8,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-474,無名路線,Project,5.??,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-475,留校察看,Detention,5.7,3,"龍洞｜訓導處｜留校察看（5.7） | https://www.youtube.com/watch?v=bcIwJtt91KM
龍洞｜訓導處｜留校察看（5.7）Fail | https://www.youtube.com/watch?v=colQkSY3M3c
龍洞拉測 鐘塔區訓導處 475留校察看 上方固定點Bolt | https://www.youtube.com/watch?v=AfOTxyT8oG0",,
龍洞,鐘塔,LD-CLOCKTOWER-476,停學,Suspended,5.9,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-477,退學,Eliminate,5.10b,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-478,非暴力抵抗,Civil Disobedience,5.9,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-479,給我抱抱,Fal Buligee,5.12a,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-480,表皮摩擦力,Skin Friction,5.10c,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-481,訓導處煙囪,Discipline Chimney,5.6,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-482,信天翁,Albatross,5.9,1,Longdong龍洞 |Albatross 信天翁 | 水池畔 | 5.9 | https://www.youtube.com/watch?v=kmvSiojUvZY,,
龍洞,鐘塔,LD-CLOCKTOWER-483,水池畔煙囪,Pondside Chimney,5.5,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-484,魚臉,Fish Face,5.10a,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-485,大綠龜,Big Green Turtle,5.10c,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-486,小藍魚,Tiny Blue Fish,5.8,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-487,海狗,Sea Dogs,5.9,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-488,保護我們的海洋,Save Our Seas,5.10a,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-489,水池畔內角,Pondside Dihedral,5.7,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-490,蟑螂窩,Cockroach Nest,5.11c,0,,,
龍洞,鐘塔,LD-CLOCKTOWER-491,潮起潮落,Tides Rise and Fall,5.13a,0,,,
