岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
墾丁,龍牆,KT-DW-022,左下右上,Bottom left top right,5.10c,0,,,
墾丁,龍牆,KT-DW-023,,K.O.T.,5.12b,0,,,
墾丁,龍牆,KT-DW-024,鬼頭刀,Dolphinfish,5.12a,1,墾丁攀岩場＿龍牆＿鬼頭刀 5.12a | https://www.youtube.com/watch?v=QCYdCFYcQng,,
墾丁,龍牆,KT-DW-025,泡芙寶貝,Puff Baby,5.7,0,,,
墾丁,龍牆,KT-DW-026,,Uninang,5.6,0,,,
墾丁,龍牆,KT-DW-027,短腿大臉,Short legs big face,5.10a,0,,,
墾丁,龍牆,KT-DW-028,長腿大臉,Long legs big face,5.10a,0,,,
墾丁,暗黑之牆,KT-DAR-001,未命名,,5.9,0,,,
墾丁,暗黑之牆,KT-DAR-002,要有光,Let there be light,5.13a,1,墾丁攀岩場＿暗黑之牆＿要有光 Let there be light 5.13a | https://www.youtube.com/watch?v=V1OQSA-kYBo,,
墾丁,暗黑之牆,KT-DAR-003,暗影,Shadow,5.13a,1,墾丁攀岩場＿暗黑之牆＿暗影5.13a | https://www.youtube.com/watch?v=AMQi0OSoRMs,,
墾丁,暗黑之牆,KT-DAR-004,暗黑物質,Dark matter,5.11b,2,,,
墾丁,暗黑之牆,KT-DAR-005,魔鬼藏在細節裡,Devil in the detail,5.12b,0,,,
墾丁,暗黑之牆,KT-DAR-006,黑暗诱惑,Dark moors enticing,5.13a,0,,,
墾丁,暗黑之牆,KT-DAR-007,暗黑能量,Dark energy,5.12c,0,,,
墾丁,暗黑之牆,KT-DAR-008,保力達B,Pailyta-B,5.12a,0,,,
墾丁,暗黑之牆,KT-DAR-009,暗靈魂,Dark Souls,5.12a,0,,,
墾丁,暗黑之牆,KT-DAR-010,金鋼,King Kong,5.11b,2,"King Kong Tropical Island Tour | Penghu, Taiwan | Part 1 | https://www.youtube.com/watch?v=vNjOHdG8wiw
KING KONG STOLE MY TRIKE! | Penghu Island, Taiwan | https://www.youtube.com/watch?v=lC_6WRK3HUI",,
墾丁,暗黑之牆,KT-DAR-011,女王蜘蛛,Queen Spider,5.10b,0,,,
墾丁,暗黑之牆,KT-DAR-012,恆春姑娘,Hengchun girl,5.11b,0,,,
墾丁,愛與和平,KT-LPH-001,Power of love,Power of love,5.11a,0,,,
墾丁,愛與和平,KT-LPH-002,Love of power,Love of power,5.12a,0,,,
墾丁,愛與和平,KT-LPH-003,To hate to love,To hate to love,5.11a,1,"To hate to love 5.11a FA, Love peace happiness, Kenting Rock Climbing | https://www.youtube.com/watch?v=us0JO_Q7hRs",,
墾丁,愛與和平,KT-LPH-004,Boulder lover,Boulder lover,5.12d,0,,,
墾丁,愛與和平,KT-LPH-005,Sling Lin 死00,Sling Lin,5.10c,0,,,
墾丁,白牆,KT-WW-001,更生人,Rehabilitated person,5.10a,0,,,
墾丁,白牆,KT-WW-002,萌萌寶貝,Mongmong Baby,5.10d,0,,,
墾丁,白牆,KT-WW-003,鬼佬,Ghost face man,5.11b,1,鬼佬 5.11b 墾丁攀岩場 | https://www.youtube.com/watch?v=-p3fY5kM-GU,,
墾丁,白牆,KT-WW-004,土土寶貝,Tuh-tuh Baby,5.11a,0,,,
墾丁,白牆,KT-WW-005,新年,New Year,5.11d,1,新年 5.11d 墾丁攀岩場 | https://www.youtube.com/watch?v=WK3FRtVwdZo,,
墾丁,白牆,KT-WW-006,後面好痛喔,That hurt like a butt cheek on the stick,5.11b,0,,,
墾丁,白牆,KT-WW-007,水牛,Buffalo,5.10c,0,,,
墾丁,白牆,KT-WW-008,柏拉圖的洞穴,Plato's cave,5.10b,0,,,
墾丁,白牆,KT-WW-009,重蹈覆徹,Follow the track of an overturned cart,5.10b,0,,,
墾丁,白牆,KT-WW-010,白水牛,White Buffalo,5.10c,0,,,
墾丁,蝸牛天堂,KT-LSP-001,未命名,Unnamed,5.6,0,,,
墾丁,蝸牛天堂,KT-LSP-002,蝸牛漫步,Snail Pace,5.10a,0,,,
墾丁,蝸牛天堂,KT-LSP-003,未命名,Unnamed,5.7,0,,,
墾丁,蝸牛天堂,KT-LSP-004,愛麗絲之路,Alice's Route,5.10b,0,,,
墾丁,蝸牛天堂,KT-LSP-005,Last action hero,Last action hero,5.11a,0,,,
墾丁,蝸牛天堂,KT-LSP-006,黏黏彈,Sticky Goo,5.10c,0,,,
墾丁,蝸牛天堂,KT-LSP-007,飯糰,Rice ball,5.10a,2,,,
墾丁,蝸牛天堂,KT-LSP-008,場長（ㄓㄤˇ）,Chief,5.7,1,,,
墾丁,蝸牛天堂,KT-LSP-009,耍吧耍吧,Sabai Sabai,5.7,0,,,
墾丁,地圖牆,KT-MW-001,康莊大道,Free Way,5.7,0,,,
墾丁,地圖牆,KT-MW-002,邪門歪道,Wicked way,5.10b,0,,,
